Id,Name and Surname,Beginning year,Played until,Birthday,html
365,Gale Bishop,1949,1949,"June 4, 1922",/players/b/bishoga01.html
366,Goga Bitadze,2020,2023,"July 20, 1999",/players/b/bitadgo01.html
367,Bismack Biyombo,2012,2023,"August 28, 1992",/players/b/biyombi01.html
368,Nemanja Bjelica,2016,2022,"May 9, 1988",/players/b/bjeline01.html
369,Uwe Blab,1986,1990,"March 26, 1962",/players/b/blabuw01.html
370,Charlie Black,1949,1952,"June 15, 1921",/players/b/blackch01.html
371,Norman Black,1981,1981,"November 12, 1957",/players/b/blackno01.html
372,Tarik Black,2015,2018,"November 22, 1991",/players/b/blackta01.html
373,Tom Black,1971,1971,"July 9, 1941",/players/b/blackto01.html
374,Rolando Blackman,1982,1994,"February 26, 1959",/players/b/blackro01.html
375,Alex Blackwell,1993,1993,"June 27, 1970",/players/b/blackal01.html
376,Cory Blackwell,1985,1985,"March 27, 1963",/players/b/blackco01.html
377,James Blackwell,1995,1995,"February 25, 1968",/players/b/blackja01.html
378,Nate Blackwell,1988,1988,"February 15, 1965",/players/b/blackna01.html
379,DeJuan Blair,2010,2016,"April 22, 1989",/players/b/blairde01.html
380,Steve Blake,2004,2016,"February 26, 1980",/players/b/blakest01.html
381,Antonio Blakeney,2018,2019,"October 4, 1996",/players/b/blakean01.html
382,Will Blalock,2007,2007,"September 8, 1983",/players/b/blalowi01.html
383,George Blaney,1962,1962,"November 12, 1939",/players/b/blanege01.html
384,Lance Blanks,1991,1993,"September 9, 1966",/players/b/blankla01.html
385,Ricky Blanton,1993,1993,"April 21, 1966",/players/b/blantri01.html
386,Andray Blatche,2006,2014,"August 22, 1986",/players/b/blatcan01.html
387,Mookie Blaylock,1990,2002,"March 20, 1967",/players/b/blaylmo01.html
388,Eric Bledsoe,2011,2022,"December 9, 1989",/players/b/bledser01.html
389,Keljin Blevins,2021,2022,"November 24, 1995",/players/b/blevike01.html
390,Leon Blevins,1951,1951,"June 25, 1926",/players/b/blevile01.html
391,John Block,1967,1976,"April 16, 1944",/players/b/blockjo01.html
392,Mike Bloom,1948,1949,"January 14, 1915",/players/b/bloommi01.html
393,Jaron Blossomgame,2019,2019,"September 16, 1993",/players/b/blossja01.html
394,Corie Blount,1994,2004,"January 4, 1969",/players/b/blounco01.html
395,Mark Blount,2001,2009,"November 30, 1975",/players/b/blounma01.html
396,Vander Blue,2014,2018,"July 17, 1992",/players/b/blueva01.html
397,Ray Blume,1982,1982,"September 23, 1958",/players/b/blumera01.html
398,Nelson Bobb,1950,1953,"February 25, 1924",/players/b/bobbne01.html
399,Tony Bobbitt,2005,2005,"October 22, 1979",/players/b/bobbito01.html
400,Bucky Bockhorn,1959,1965,"July 8, 1933",/players/b/bockhbu01.html
401,Buddy Boeheim,2023,2023,"November 11, 1999",/players/b/boehebu01.html
402,Tom Boerwinkle,1969,1978,"August 23, 1945",/players/b/boerwto01.html
403,Keith Bogans,2004,2014,"May 12, 1980",/players/b/boganke01.html
404,Bogdan Bogdanović,2018,2023,"August 18, 1992",/players/b/bogdabo01.html
405,Bojan Bogdanović,2015,2023,"April 18, 1989",/players/b/bogdabo02.html
406,Muggsy Bogues,1988,2001,"January 9, 1965",/players/b/boguemu01.html
407,Andrew Bogut,2006,2019,"November 28, 1984",/players/b/bogutan01.html
408,Etdrick Bohannon,1998,2001,"May 29, 1973",/players/b/bohanet01.html
409,Bol Bol,2020,2023,"November 16, 1999",/players/b/bolbo01.html
410,Manute Bol,1986,1995,"October 16, 1962",/players/b/bolma01.html
411,Jonah Bolden,2019,2020,"January 2, 1996",/players/b/boldejo01.html
412,Marques Bolden,2020,2021,"April 17, 1998",/players/b/boldema01.html
413,Bill Bolger,1954,1954,"August 21, 1931",/players/b/bolgebi01.html
414,Leandro Bolmaro,2022,2023,"September 11, 2000",/players/b/bolmale01.html
415,Joel Bolomboy,2017,2018,"January 28, 1994",/players/b/bolomjo01.html
416,Doug Bolstorff,1958,1958,"October 29, 1931",/players/b/bolstdo01.html
417,George Bon Salle,1962,1962,"July 1, 1935",/players/b/bonsage01.html
418,Phil Bond,1978,1978,"July 27, 1954",/players/b/bondph01.html
419,Walter Bond,1993,1995,"February 1, 1969",/players/b/bondwa01.html
420,Jordan Bone,2020,2021,"November 5, 1997",/players/b/bonejo01.html
421,Dexter Boney,1997,1997,"April 27, 1970",/players/b/boneyde01.html
422,Isaac Bonga,2019,2022,"November 8, 1999",/players/b/bongais01.html
423,Ron Bonham,1965,1968,"May 31, 1942",/players/b/bonharo01.html
424,Anthony Bonner,1991,1996,"June 8, 1968",/players/b/bonnean01.html
425,Matt Bonner,2005,2016,"April 5, 1980",/players/b/bonnema01.html
426,Butch Booker,1970,1970,"July 20, 1945",/players/b/bookebu01.html
427,Devin Booker,2016,2023,"October 30, 1996",/players/b/bookede01.html
428,Melvin Booker,1996,1997,"August 20, 1972",/players/b/bookeme01.html
429,Trevor Booker,2011,2018,"November 25, 1987",/players/b/booketr01.html
430,Josh Boone,2007,2010,"November 21, 1984",/players/b/boonejo01.html
431,Ron Boone,1969,1981,"September 6, 1946",/players/b/boonero01.html
432,Calvin Booth,2000,2009,"May 7, 1976",/players/b/boothca01.html
433,Keith Booth,1998,1999,"October 9, 1974",/players/b/boothke01.html
434,Bob Boozer,1961,1971,"April 26, 1937",/players/b/boozebo01.html
435,Carlos Boozer,2003,2015,"November 20, 1981",/players/b/boozeca01.html
436,Curtis Borchardt,2004,2005,"September 13, 1980",/players/b/borchcu01.html
437,Jake Bornheimer,1949,1950,"June 29, 1927",/players/b/bornhja01.html
438,Lazaro Borrell,2000,2000,"September 20, 1972",/players/b/borrela01.html
439,Ike Borsavage,1951,1951,"July 25, 1924",/players/b/borsaik01.html
440,Vince Boryla,1950,1954,"March 11, 1927",/players/b/borylvi01.html
441,Chris Bosh*,2004,2016,"March 24, 1984",/players/b/boshch01.html
442,Jim Bostic,1978,1978,"January 28, 1953",/players/b/bostiji01.html
443,Brandon Boston Jr.,2022,2023,"November 28, 2001",/players/b/bostobr01.html
444,Lawrence Boston,1980,1980,"May 18, 1956",/players/b/bostola01.html
445,Tom Boswell,1976,1984,"October 2, 1953",/players/b/bosweto01.html
446,Chris Boucher,2018,2023,"January 11, 1993",/players/b/bouchch01.html
447,James Bouknight,2022,2023,"September 18, 2000",/players/b/bouknja01.html
448,Ruben Boumtje-Boumtje,2002,2004,"May 20, 1978",/players/b/boumtru01.html
449,Jamaree Bouyea,2023,2023,"June 27, 1999",/players/b/bouyeja01.html
450,Don Boven,1950,1953,"March 6, 1925",/players/b/bovendo01.html
451,Cal Bowdler,2000,2002,"March 31, 1977",/players/b/bowdlca01.html
452,Brian Bowen,2020,2021,"October 2, 1998",/players/b/bowenbr02.html
453,Bruce Bowen,1997,2009,"June 14, 1971",/players/b/bowenbr01.html
454,Ryan Bowen,2000,2010,"November 20, 1975",/players/b/bowenry01.html
455,Tommie Bowens,1968,1970,"July 7, 1940",/players/b/bowento01.html
456,Anthony Bowie,1989,1998,"November 9, 1963",/players/b/bowiean01.html
457,Sam Bowie,1985,1995,"March 17, 1961",/players/b/bowiesa01.html
458,Orb Bowling,1968,1968,"March 21, 1939",/players/b/bowlior01.html
459,Ira Bowman,2000,2002,"June 11, 1973",/players/b/bowmair01.html
460,Ky Bowman,2020,2020,"June 16, 1997",/players/b/bowmaky01.html
461,Nate Bowman,1967,1972,"March 19, 1943",/players/b/bowmana01.html
462,Donnie Boyce,1996,1997,"September 2, 1973",/players/b/boycedo01.html
463,Dennis Boyd,1979,1979,"May 21, 1954",/players/b/boydde01.html
464,Freddie Boyd,1973,1978,"June 13, 1950",/players/b/boydfr01.html
465,Ken Boyd,1975,1975,"March 25, 1952",/players/b/boydke01.html
466,Earl Boykins,1999,2012,"June 2, 1976",/players/b/boykiea01.html
467,Harry Boykoff,1950,1951,"July 24, 1922",/players/b/boykoha01.html
468,Winford Boynes,1979,1981,"May 17, 1957",/players/b/boynewi01.html
469,Cedric Bozeman,2007,2007,"March 7, 1983",/players/b/bozemce01.html
470,Steve Bracey,1973,1975,"August 1, 1950",/players/b/bracest01.html
471,Craig Brackins,2011,2012,"October 9, 1987",/players/b/brackcr01.html
472,Gary Bradds,1965,1971,"July 26, 1942",/players/b/braddga01.html
473,Alex Bradley,1982,1982,"October 30, 1959",/players/b/bradlal02.html
474,Alonzo Bradley,1978,1980,"October 16, 1953",/players/b/bradlal01.html
475,Avery Bradley,2011,2022,"November 26, 1990",/players/b/bradlav01.html
476,Bill Bradley,1968,1968,"June 16, 1941",/players/b/bradlbi02.html
477,Bill Bradley*,1968,1977,"July 28, 1943",/players/b/bradlbi01.html
478,Charles Bradley,1982,1984,"May 16, 1959",/players/b/bradlch01.html
479,Dudley Bradley,1980,1989,"March 19, 1957",/players/b/bradldu01.html
480,Jim Bradley,1974,1976,"March 16, 1952",/players/b/bradlji01.html
481,Joe Bradley,1950,1950,"September 24, 1928",/players/b/bradljo01.html
482,Michael Bradley,2002,2006,"April 18, 1979",/players/b/bradlmi01.html
483,Shawn Bradley,1994,2005,"March 22, 1972",/players/b/bradlsh01.html
484,Tony Bradley,2018,2023,"January 8, 1998",/players/b/bradlto01.html
485,Mark Bradtke,1997,1997,"September 27, 1968",/players/b/bradtma01.html
486,Marques Bragg,1996,1996,"March 24, 1970",/players/b/braggma01.html
487,Torraye Braggs,2004,2005,"May 15, 1976",/players/b/braggto01.html
488,A.J. Bramlett,2000,2000,"January 10, 1977",/players/b/bramlaj01.html
489,Adrian Branch,1987,1990,"November 17, 1963",/players/b/brancad01.html
490,Elton Brand,2000,2016,"March 11, 1979",/players/b/brandel01.html
491,Terrell Brandon,1992,2002,"May 20, 1970",/players/b/brandte01.html
492,Malaki Branham,2023,2023,"May 12, 2003",/players/b/branhma01.html
493,Bob Brannum,1950,1955,"May 28, 1926",/players/b/brannbo01.html
494,Brad Branson,1982,1983,"September 24, 1958",/players/b/bransbr01.html
495,Jesse Branson,1966,1968,"January 7, 1942",/players/b/bransje01.html
496,Jarrell Brantley,2020,2023,"June 7, 1996",/players/b/brantja01.html
497,Jim Brasco,1953,1953,"February 3, 1931",/players/b/brascji01.html
498,Mike Bratz,1978,1986,"October 17, 1955",/players/b/bratzmi01.html
499,Carl Braun*,1948,1962,"September 25, 1927",/players/b/braunca01.html
500,Christian Braun,2023,2023,"April 17, 2001",/players/b/braunch01.html
501,Ignas Brazdeikis,2020,2022,"January 8, 1999",/players/b/brazdig01.html
502,Tim Breaux,1995,1998,"September 19, 1970",/players/b/breauti01.html
503,J.R. Bremer,2003,2004,"September 19, 1980",/players/b/bremejr01.html
504,Pete Brennan,1959,1959,"September 23, 1936",/players/b/brennpe01.html
505,Tom Brennan,1955,1955,"August 6, 1930",/players/b/brennto01.html
506,Randy Breuer,1984,1994,"October 11, 1960",/players/b/breuera01.html
507,Corey Brewer,2008,2020,"March 5, 1986",/players/b/breweco01.html
508,Jamison Brewer,2002,2005,"November 19, 1980",/players/b/breweja01.html
509,Jim Brewer,1974,1982,"December 3, 1951",/players/b/breweji01.html
510,Ron Brewer,1979,1986,"July 16, 1955",/players/b/brewero01.html
511,Ronnie Brewer,2007,2014,"March 20, 1985",/players/b/brewero02.html
512,Primož Brezec,2002,2010,"October 2, 1979",/players/b/brezepr01.html
513,Frankie Brian,1950,1956,"May 1, 1923",/players/b/brianfr01.html
514,Frank Brickowski,1985,1997,"August 14, 1959",/players/b/brickfr01.html
515,Junior Bridgeman,1976,1987,"September 17, 1953",/players/b/bridgju01.html
516,Bill Bridges,1963,1975,"April 4, 1939",/players/b/bridgbi01.html
517,Mikal Bridges,2019,2023,"August 30, 1996",/players/b/bridgmi01.html
518,Miles Bridges,2019,2022,"March 21, 1998",/players/b/bridgmi02.html
519,Al Brightman,1947,1947,"September 22, 1923",/players/b/brighal01.html
520,Amida Brimah,2021,2021,"February 11, 1994",/players/b/brimaam01.html
521,Aud Brindley,1947,1947,"December 31, 1923",/players/b/brindau01.html
522,Isaiah Briscoe,2019,2019,"April 13, 1996",/players/b/briscis01.html
523,John Brisker,1970,1975,"June 15, 1947",/players/b/briskjo01.html
524,Oshae Brissett,2020,2023,"June 20, 1998",/players/b/brissos01.html
525,Allan Bristow,1974,1983,"August 23, 1951",/players/b/bristal01.html
526,Tyrone Britt,1968,1968,"April 18, 1944",/players/b/brittty01.html
527,Wayman Britt,1978,1978,"August 31, 1952",/players/b/brittwa01.html
528,Mike Brittain,1986,1987,"June 21, 1963",/players/b/brittmi01.html
529,Dave Britton,1981,1981,"August 29, 1958",/players/b/brittda01.html
530,Jon Brockman,2010,2012,"March 20, 1987",/players/b/brockjo01.html
531,Ryan Broekhoff,2019,2020,"August 23, 1990",/players/b/broekry01.html
532,Jim Brogan,1982,1983,"February 24, 1958",/players/b/brogaji01.html
533,Malcolm Brogdon,2017,2023,"December 11, 1992",/players/b/brogdma01.html
534,Gary Brokaw,1975,1978,"January 11, 1954",/players/b/brokaga01.html
535,Price Brookfield,1949,1950,"May 11, 1920",/players/b/brookpr01.html
536,Clarence Brookins,1971,1971,,/players/b/brookcl01.html
537,Aaron Brooks,2008,2018,"January 14, 1985",/players/b/brookaa01.html
538,Armoni Brooks,2021,2022,"June 5, 1998",/players/b/brookar01.html
539,Dillon Brooks,2018,2023,"January 22, 1996",/players/b/brookdi01.html
540,Kevin Brooks,1992,1994,"October 12, 1969",/players/b/brookke01.html
541,MarShon Brooks,2012,2019,"January 26, 1989",/players/b/brookma01.html
542,Michael Brooks,1981,1988,"August 17, 1958",/players/b/brookmi01.html
543,Scott Brooks,1989,1998,"July 31, 1965",/players/b/brooksc01.html
544,Andre Brown,2007,2009,"May 12, 1981",/players/b/brownan01.html
545,Anthony Brown,2016,2018,"October 10, 1992",/players/b/brownan02.html
546,Bob Brown,1949,1950,"November 12, 1923",/players/b/brownbo01.html
547,Bobby Brown,2009,2018,"September 24, 1984",/players/b/brownbo02.html
548,Bruce Brown,2019,2023,"August 15, 1996",/players/b/brownbr01.html
549,Charlie Brown Jr.,2020,2022,"February 2, 1997",/players/b/brownch02.html
550,Chaundee Brown Jr.,2022,2022,"December 4, 1998",/players/b/brownch05.html
551,Chucky Brown,1990,2002,"February 29, 1968",/players/b/brownch01.html
552,Damone Brown,2002,2005,"June 28, 1979",/players/b/brownda02.html
553,Darrel Brown,1949,1949,"March 14, 1923",/players/b/brownda01.html
554,Dee Brown,1991,2002,"November 29, 1968",/players/b/brownde01.html
555,Dee Brown,2007,2009,"August 17, 1984",/players/b/brownde03.html
556,Derrick Brown,2010,2012,"September 8, 1987",/players/b/brownde04.html
557,Devin Brown,2003,2010,"December 30, 1978",/players/b/brownde02.html
558,Ernest Brown,2002,2002,"May 17, 1979",/players/b/browner01.html
559,Fred Brown,1972,1984,"August 7, 1948",/players/b/brownfr01.html
560,George Brown,1958,1958,"October 30, 1935",/players/b/brownge01.html
561,Gerald Brown,1999,1999,"July 28, 1975",/players/b/brownge02.html
562,Greg Brown III,2022,2023,"September 1, 2001",/players/b/browngr01.html
563,Harold Brown,1947,1947,"October 2, 1923",/players/b/brownha01.html
564,Jabari Brown,2015,2015,"December 18, 1992",/players/b/brownja01.html
565,Jaylen Brown,2017,2023,"October 24, 1996",/players/b/brownja02.html
566,John Brown,1974,1980,"December 14, 1951",/players/b/brownjo01.html
567,Kedrick Brown,2002,2005,"March 18, 1981",/players/b/brownke01.html
568,Kendall Brown,2023,2023,"May 11, 2003",/players/b/brownke03.html
569,Kwame Brown,2002,2013,"March 10, 1982",/players/b/brownkw01.html
570,Larry Brown*,1968,1972,"September 14, 1940",/players/b/brownla01.html
571,Leon Brown,1947,1947,"October 12, 1919",/players/b/brownle01.html
572,Lewis Brown,1981,1981,"February 19, 1955",/players/b/brownle02.html
573,Lorenzo Brown,2014,2019,"August 26, 1990",/players/b/brownlo01.html
574,Marcus Brown,1997,2000,"April 3, 1974",/players/b/brownma01.html
575,Markel Brown,2015,2018,"January 29, 1992",/players/b/brownma02.html
576,Mike Brown,1987,1997,"July 19, 1963",/players/b/brownmi01.html
577,Moses Brown,2020,2023,"October 13, 1999",/players/b/brownmo01.html
578,Myron Brown,1992,1992,"November 3, 1969",/players/b/brownmy01.html
579,P.J. Brown,1994,2008,"October 14, 1969",/players/b/brownpj01.html
580,Randy Brown,1992,2003,"May 22, 1968",/players/b/brownra02.html
581,Raymond Brown,1990,1990,"July 5, 1965",/players/b/brownra01.html
582,Rickey Brown,1981,1985,"August 20, 1958",/players/b/brownri01.html
583,Roger Brown*,1968,1975,"May 22, 1942",/players/b/brownro01.html
584,Roger Brown,1973,1980,"February 23, 1950",/players/b/brownro02.html
585,Shannon Brown,2007,2015,"November 29, 1985",/players/b/brownsh01.html
586,Stan Brown,1948,1952,"June 27, 1929",/players/b/brownst01.html
587,Sterling Brown,2018,2023,"February 10, 1995",/players/b/brownst02.html
588,Tierre Brown,2002,2005,"June 3, 1979",/players/b/brownti01.html
589,Tony Brown,1985,1992,"July 29, 1960",/players/b/brownto01.html
590,Troy Brown Jr.,2019,2023,"July 28, 1999",/players/b/browntr01.html
591,Jim Browne,1949,1950,"January 1, 1930",/players/b/brownji01.html
592,Stanley Brundy,1990,1990,"November 13, 1967",/players/b/brundst01.html
593,Brian Brunkhorst,1969,1969,"June 12, 1945",/players/b/brunkbr01.html
594,George Bruns,1973,1973,"August 30, 1946",/players/b/brunsge01.html
595,Jalen Brunson,2019,2023,"August 31, 1996",/players/b/brunsja01.html
596,Rick Brunson,1998,2006,"June 14, 1972",/players/b/brunsri01.html
597,Nicolás Brussino,2017,2018,"March 2, 1993",/players/b/brussni01.html
598,Elijah Bryant,2021,2021,"April 19, 1995",/players/b/bryanel01.html
599,Em Bryant,1965,1972,"November 4, 1938",/players/b/bryanem01.html
600,Joe Bryant,1976,1983,"October 19, 1954",/players/b/bryanjo01.html
601,Kobe Bryant*,1997,2016,"August 23, 1978",/players/b/bryanko01.html
602,Mark Bryant,1989,2003,"April 25, 1965",/players/b/bryanma01.html
603,Thomas Bryant,2018,2023,"July 31, 1997",/players/b/bryanth01.html
604,Wallace Bryant,1984,1986,"July 14, 1959",/players/b/bryanwa01.html
605,Torgeir Bryn,1990,1990,"August 8, 1964",/players/b/brynto01.html
606,George Bucci,1976,1976,"July 9, 1953",/players/b/buccige01.html
607,Shaq Buchanan,2022,2022,"January 30, 1997",/players/b/buchash01.html
608,Joe Buckhalter,1962,1963,"August 1, 1937",/players/b/buckhjo01.html
609,Steve Bucknall,1990,1990,"March 17, 1966",/players/b/bucknst01.html
610,Cleveland Buckner,1962,1963,"August 17, 1938",/players/b/buckncl01.html
611,Greg Buckner,2000,2009,"September 16, 1976",/players/b/buckngr01.html
612,Quinn Buckner,1977,1986,"August 20, 1954",/players/b/bucknqu01.html
613,Dave Budd,1961,1965,"October 28, 1938",/players/b/buddda01.html
614,Chase Budinger,2010,2016,"May 22, 1988",/players/b/budinch01.html
615,Walt Budko,1949,1952,"July 30, 1925",/players/b/budkowa01.html
616,Jud Buechler,1991,2002,"June 19, 1968",/players/b/buechju01.html
617,Rodney Buford,2000,2005,"November 2, 1977",/players/b/buforro01.html
618,Matt Bullard,1991,2002,"June 5, 1967",/players/b/bullama01.html
619,Reggie Bullock,2014,2023,"March 16, 1991",/players/b/bullore01.html
620,Larry Bunce,1968,1969,"July 29, 1945",/players/b/buncela01.html
621,Greg Bunch,1979,1979,"May 15, 1956",/players/b/bunchgr01.html
622,Dick Bunt,1953,1953,"July 13, 1930",/players/b/buntdi01.html
623,Bill Buntin,1966,1966,"May 5, 1942",/players/b/buntibi01.html
624,Bill Bunting,1970,1972,"August 26, 1947",/players/b/buntibi02.html
625,Ticky Burden,1976,1978,"February 28, 1953",/players/b/burdeti01.html
626,Pat Burke,2003,2007,"December 14, 1973",/players/b/burkepa01.html
627,Trey Burke,2014,2022,"November 12, 1992",/players/b/burketr01.html
628,Roger Burkman,1982,1982,"May 22, 1958",/players/b/burkmro01.html
629,Alec Burks,2012,2023,"July 20, 1991",/players/b/burksal01.html
630,Antonio Burks,2005,2006,"February 25, 1980",/players/b/burksan01.html
631,Kevin Burleson,2006,2006,"September 4, 1979",/players/b/burleke01.html
632,Tom Burleson,1975,1981,"February 24, 1952",/players/b/burleto01.html
